"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","method"
"162",62,3e+05,0.3,0.01,-1,0.614117647058824,-5.77373784263203e-06,-0.000853329273349124,-0.00010247020209331,-0.000482404917495562,-0.397803507657073,"EB"
"163",63,3e+05,0.3,0.01,-1,0.645955451348183,-5.89941926917743e-06,-0.000900339031616693,4.54067940474066e-05,-0.000506512756344665,-0.424846977349662,"EB"
"164",64,3e+05,0.3,0.01,-1,0.674556213017751,-7.19226314727506e-06,-0.00100239582931501,0.000304936001010052,-0.0003460670680203,-0.430217206818402,"EB"
"165",65,3e+05,0.3,0.01,-1,0.670022371364653,-7.66241816467356e-06,-0.00103482774334922,0.000297106114328103,-0.00156117341514864,-0.430334871616745,"EB"
"166",66,3e+05,0.3,0.01,-1,0.649021864211738,-7.87131692217606e-06,-0.00105510428095209,0.000188333655905309,-0.000833143097264907,-0.434214521615467,"EB"
"167",67,3e+05,0.3,0.01,-1,0.669291338582677,-7.94906593051034e-06,-0.00109201593638965,0.000140546184087247,-0.002622390839232,-0.453725267051177,"EB"
"168",68,3e+05,0.3,0.01,-1,0.676674364896074,-6.83302568898431e-06,-0.00101193887385996,0.000318299298523341,-0.000690048493468165,-0.45338068643809,"EB"
"169",69,3e+05,0.3,0.01,-1,0.633136094674556,-5.51253021035323e-06,-0.000755806002181275,2.82613923395746e-05,-0.000226971959873526,-0.340318576210385,"EB"
"170",70,3e+05,0.3,0.01,-1,0.685904550499445,-7.7365409464191e-06,-0.00106202601160104,0.000416371053993954,-0.0011983737710249,-0.444195851912226,"EB"
"171",71,3e+05,0.3,0.01,-1,0.664414414414414,-6.88345808100973e-06,-0.000999219207781849,0.000314668569807904,-0.000495535212922028,-0.44251366733729,"EB"
"172",72,3e+05,0.3,0.01,-1,0.64344746162928,-7.95113715123907e-06,-0.00105683802219979,0.000206944908481762,-0.000768660868930625,-0.431995160148346,"EB"
"173",73,3e+05,0.3,0.01,-1,0.66967305524239,-6.68643123874686e-06,-0.000964792388898618,0.000244859992459258,0.000204347868992113,-0.429066941878215,"EB"
"174",74,3e+05,0.3,0.01,-1,0.651672433679354,-6.89206319346244e-06,-0.000965619348964635,0.000119652586310212,-0.000235749019267502,-0.419865080338168,"EB"
"175",75,3e+05,0.3,0.01,-1,0.689298043728424,-8.16492169493993e-06,-0.0010570459634007,0.000488555729387288,-0.00152067591587416,-0.423537204359868,"EB"
"176",76,3e+05,0.3,0.01,-1,0.650644783118406,-4.9077256652164e-06,-0.000710642850886971,0.000270389107912248,-0.00052723394443307,-0.338383276982405,"EB"
"177",77,3e+05,0.3,0.01,-1,0.651711924439197,-5.81470267944058e-06,-0.000821838797666283,0.000165200135520546,-0.000414988181462314,-0.372953858130779,"EB"
"178",78,3e+05,0.3,0.01,-1,0.658624849215923,-7.91226150314763e-06,-0.00110694919290607,0.00019664781493323,-0.0012898518332905,-0.46446383348823,"EB"
"179",79,3e+05,0.3,0.01,-1,0.613776137761378,-5.24171179119545e-06,-0.000785763934907539,-0.000155176319875794,0.000285982853941343,-0.377094365746648,"EB"
"180",80,3e+05,0.3,0.01,-1,0.658181818181818,-7.35362720123117e-06,-0.000973101719719264,0.00020389042848234,-0.00213161942934247,-0.404262917157861,"EB"
"181",81,3e+05,0.3,0.01,-1,0.650292397660819,-6.70835727518112e-06,-0.000927059509370549,0.000253454323511394,-4.86963480692523e-05,-0.4026729892642,"EB"
"182",82,3e+05,0.3,0.01,-1,0.646922183507549,-7.14651394638118e-06,-0.000973109286713429,0.000127605968782093,-0.000675442348635463,-0.413246792060997,"EB"
"183",83,3e+05,0.3,0.01,-1,0.637767220902613,-4.57965522050643e-06,-0.000667985322492334,5.92029371897932e-05,0.00107157968828086,-0.323598059133494,"EB"
"184",84,3e+05,0.3,0.01,-1,0.629200463499421,-6.56789433918499e-06,-0.000894351324592483,0.000102090350591973,0.000147313147793414,-0.387107582484766,"EB"
"185",85,3e+05,0.3,0.01,-1,0.651567944250871,-6.49872440585133e-06,-0.000904298058845563,0.000325473601367232,-0.000114341861508637,-0.397106505665554,"EB"
"186",86,3e+05,0.3,0.01,-1,0.653710247349823,-4.66469853552585e-06,-0.000653459492171322,0.000147794758989493,0.00130050405967922,-0.307322220456491,"EB"
"187",87,3e+05,0.3,0.01,-1,0.661077844311377,-6.51459291209631e-06,-0.000914237823230992,0.000110068962309446,-0.00123832585630743,-0.403126078934798,"EB"
"188",88,3e+05,0.3,0.01,-1,0.667848699763593,-6.88653102191753e-06,-0.00097007433467892,0.000306518569664721,-0.000810004159123125,-0.423073698800442,"EB"
"189",89,3e+05,0.3,0.01,-1,0.637362637362637,-5.73194949274236e-06,-0.000883191277266656,2.82006158526323e-05,-0.000524327273000026,-0.421741426489848,"EB"
"190",90,3e+05,0.3,0.01,-1,0.643802647412756,-7.18352980543338e-06,-0.00100289505969132,2.6647275046405e-06,-0.00142578050074769,-0.430935536510898,"EB"
"191",91,3e+05,0.3,0.01,-1,0.651672433679354,-8.21092628108746e-06,-0.0010470340017579,0.000367139559668131,-0.00108808844347551,-0.415656921902309,"EB"
"192",92,3e+05,0.3,0.01,-1,0.638480392156863,-5.27800454210605e-06,-0.000794164376102,-4.22320577656602e-05,-0.00145216629481651,-0.381387486362283,"EB"
