"","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","flb_error","mse_error","rmse_error","bias_up_error","bias_down_error","rel_mse_error","method"
"4018",30000,0.3,0.001,0,0.641726726696633,3.95645795309204e-05,0.000981192298931264,-0.00213585339186577,0.00203848711412462,0.0510658658355007,0.0372154787191604,3.64273664290348e-05,0.000908136144408958,0.00178714912954018,0.00209190242703323,0.0484130740043614,"cl2"
"5018",3e+05,0.3,0.001,0,0.508601918935228,1.37768475215242e-05,0.00140551524580123,-0.000913201630957375,0.000909510932333696,0.335529046851315,0.013027876670021,1.60869123972139e-06,0.000145202526661874,0.000244496838647949,0.00023717652060647,0.0375814908205856,"cl2"
"6018",30000,0.8,0.001,0,0.552920484429244,0.000163139241529743,0.00466094593286237,-0.00386257385337457,0.00387623650293741,0.308259501699048,0.0223940881797162,1.98928622914638e-05,0.000550904029288714,0.00134994774454385,0.00115261588334758,0.04281615290111,"cl2"
"7018",3e+05,0.8,0.001,0,0.495098621409837,9.62434992091041e-06,0.00104236542446146,-0.000622540606160063,0.000627084613374165,0.254741977643702,0.0110003660188046,6.42984364013255e-07,6.55235925057447e-05,0.000203055487863606,0.000194496946528699,0.0181605357062421,"cl2"
"19",30000,0.3,0.01,0,0.966490875095812,-0.000898879281757743,-0.0146887553647948,0.0141988007339772,-0.0144628877394164,-0.387365130838864,0.0218113903165208,9.24422957870606e-05,0.00123021496978542,0.00304419509412505,0.00319103949452499,0.0275745866734384,"cl3"
"1019",3e+05,0.3,0.01,0,0.591962618132462,2.61926973446731e-05,0.00215567000998923,-0.00137399419274231,0.00136221114317701,0.431787992482806,0.0118872913112814,1.45405344026523e-06,0.000115754490530143,0.000192795997038341,0.000217751963419109,0.0289543974339291,"cl3"
"2019",30000,0.8,0.01,0,0.767483265639812,-0.000119637748080296,-0.00256153097965843,0.00103546331631574,-0.000998494395542713,-0.103278181205384,0.0252790113450794,4.8824877682404e-05,0.0010246036934824,0.00163305184056369,0.0018330485297678,0.0391855502513508,"cl3"
"3019",3e+05,0.8,0.01,0,0.543279179839195,2.41358125435777e-05,0.00222419292032848,-0.0012239626968277,0.00123351149352335,0.515796402177144,0.00850940845873482,7.03297989480224e-07,6.1390472689175e-05,0.000128355046542858,0.000136776877294562,0.0185224907165798,"cl3"
"4019",30000,0.3,0.001,0,0.640863632501508,0.000146288802981233,0.00339928536603106,-0.00267889755215819,0.00258590903696676,0.17321607930859,0.0362796578364226,4.20892611755569e-05,0.000992420994557195,0.00184201601363743,0.00214869410266112,0.0568857188303852,"cl3"
"5019",3e+05,0.3,0.001,0,0.525872343264237,1.73198183346106e-05,0.00171426131343727,-0.000869593917122763,0.00086406117411995,0.40917555876811,0.0139823615560862,1.12808168036759e-06,0.000104106637299174,0.000246638715936323,0.000239773615956104,0.029702172662106,"cl3"
"6019",30000,0.8,0.001,0,0.561621925170812,0.000236468361903344,0.00642985371598174,-0.00386880265574371,0.00387776406126118,0.424992192130327,0.0226112763919305,2.28329086467187e-05,0.000584173120102085,0.0013707210635551,0.00118247234369018,0.0473803247360222,"cl3"
"7019",3e+05,0.8,0.001,0,0.516366376141655,1.18245462531352e-05,0.00125219704488213,-0.000577484316362308,0.000581347653585642,0.305998329138961,0.013599922685622,6.78059715151969e-07,6.61399496546372e-05,0.000203106916523729,0.000194535557204883,0.018741177982125,"cl3"
"110",30000,0.3,0.01,0,0,0,0,0.0362310016999478,-0.0365009089889121,0,0,0,0,0.00273862858268027,0.00290889309039816,0,"naive"
"10110",3e+05,0.3,0.01,0,0,0,0,0.0030133411411472,-0.00301091695484093,0,0,0,0,0.000165170956926249,0.000176097158096977,0,"naive"
"20110",30000,0.8,0.01,0,0,0,0,0.0209100127872414,-0.0208311352764916,0,0,0,0,0.00121939400475905,0.00143585962202418,0,"naive"
"30110",3e+05,0.8,0.01,0,0,0,0,0.00171622655368651,-0.00171508981389556,0,0,0,0,0.000115037066002832,0.000113877654035397,0,"naive"
"40110",30000,0.3,0.001,0,0,0,0,0.0135447781694558,-0.0135497206681929,0,0,0,0,0.00156530114095478,0.00182483260047148,0,"naive"
"50110",3e+05,0.3,0.001,0,0,0,0,0.00111245184034717,-0.00112600663861895,0,0,0,0,0.000218060706865241,0.000218262875069301,0,"naive"
"60110",30000,0.8,0.001,0,0,0,0,0.0071881641340523,-0.00722102592047543,0,0,0,0,0.00107388810743315,0.000996065623241328,0,"naive"
"70110",3e+05,0.8,0.001,0,0,0,0,0.000704722344562702,-0.000692014794263214,0,0,0,0,0.000193300745889418,0.000178477085974384,0,"naive"
