"","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","flb_error","mse_error","rmse_error","bias_up_error","bias_down_error","rel_mse_error","method"
"19012",3e+05,0.8,0.01,1,0.538350683265248,-1.10796834884119e-06,-0.00018412427413942,-8.48516421447887e-05,0.00163466479194385,-0.115182695778651,0.00996829912228327,1.32819634514384e-07,2.07824779192157e-05,7.54395653057862e-05,0.000830331809087227,0.0116723668993714,"BR"
"20012",30000,0.3,0.001,1,0.585858961724246,-4.14160892598053e-05,-0.00187133499894183,-0.00332741536460237,-0.0142547996779781,-0.278408111616028,0.0545023909818759,5.13241228582846e-05,0.0015790193628345,0.00122955839775319,0.032969293405959,0.164873525296024,"BR"
"21012",3e+05,0.3,0.001,1,0.254620035894331,6.99879345116395e-06,0.000889647414059132,-0.00153822437140264,0.00224804497096605,0.584950507612608,0.0308208423116709,1.60881536428405e-06,0.000202035283730538,0.000170892756847869,0.000844881413853937,0.163520750263365,"BR"
"22012",30000,0.8,0.001,1,0.32000471062631,4.76475832100038e-05,0.0021776487164544,-0.00405109016251736,0.0136028401898312,0.500929338448633,0.0337788585903316,1.226618729938e-05,0.000565490369598036,0.00069104385214382,0.00823307929373854,0.159881544548688,"BR"
"23012",3e+05,0.8,0.001,1,0.262445538474929,7.3176805945886e-06,0.000892952882186134,-0.00121549745994142,0.0028178091537569,0.556601034765342,0.0469573529667527,1.72659957320152e-06,0.000191872340970653,0.000195179211343378,0.000590440326300968,0.138364568302498,"BR"
"13",30000,0.3,0.01,-1,0.94,-0.00091641390452494,-0.0172386823662512,0.00210065637244834,-0.00217298890196446,-0.677659838541729,0.217593517310397,0.000857015432436962,0.0116055420808251,0.0184706091513967,0.0359405775471334,0.28598370234397,"cl1"
"1013",3e+05,0.3,0.01,-1,0.531950572168196,3.85563878540473e-05,0.00337789806144476,-0.00233273398481028,0.00342986218768632,2.41622855826729,0.0165378166282911,4.57594912005361e-06,0.000324334663234501,0.000214616798381985,0.00141198379115438,0.375822447333968,"cl1"
"2013",30000,0.8,0.01,-1,0.638361840667962,1.34330014151611e-05,0.0003628215077093,-0.0083264421322448,0.00406371955079534,0.1080026420294,0.105857952791784,0.000189140394567937,0.00409518503228728,0.00466396448855888,0.0240978579141249,0.407183013903835,"cl1"
"3013",3e+05,0.8,0.01,-1,0.514039928878615,3.04539079044371e-05,0.002939248337958,-0.00136794836378231,0.00238690979037318,2.22433029269678,0.00884917948716393,2.93887425755269e-06,0.000227037270654055,0.000131773746126425,0.000506489530273564,0.245851087131236,"cl1"
"4013",30000,0.3,0.001,-1,0.530990456333367,0.000366550977880368,0.0101764903858863,-0.00730350937095747,0.0118993862554205,2.42940558360289,0.0499682534927213,0.000135334271550155,0.00308698233154949,0.00225602454048794,0.0137652397197051,1.13704136910009,"cl1"
